ts_ms,received_ts_ms,window_slug,outcome,tick_type,price,size,side,best_bid,best_ask,timestamp
1774230697759,1774230697834,btc-updown-15m-1774230300,Up,book,,,,0.24,0.25,2026-03-23 01:51:37.759
1774230697789,1774230697861,btc-updown-15m-1774230300,Up,trade,0.25,20.0,,0.24,0.25,2026-03-23 01:51:37.789
1774230698455,1774230698529,btc-updown-15m-1774230300,Up,book,,,,0.22,0.25,2026-03-23 01:51:38.455
1774230698464,1774230698542,btc-updown-15m-1774230300,Up,book,,,,0.22,0.25,2026-03-23 01:51:38.464
1774230698495,1774230698566,btc-updown-15m-1774230300,Up,trade,0.22,14.01,,0.22,0.25,2026-03-23 01:51:38.495
1774230698512,1774230698584,btc-updown-15m-1774230300,Up,book,,,,0.21,0.23,2026-03-23 01:51:38.512
1774230698607,1774230698677,btc-updown-15m-1774230300,Up,book,,,,0.21,0.22,2026-03-23 01:51:38.607
1774230698685,1774230698758,btc-updown-15m-1774230300,Up,book,,,,0.21,0.22,2026-03-23 01:51:38.685
1774230699081,1774230699155,btc-updown-15m-1774230300,Up,book,,,,0.21,0.22,2026-03-23 01:51:39.081
1774230699094,1774230699164,btc-updown-15m-1774230300,Up,trade,0.22,22.72,,0.21,0.22,2026-03-23 01:51:39.094
1774230699553,1774230699625,btc-updown-15m-1774230300,Up,book,,,,0.21,0.22,2026-03-23 01:51:39.553
1774230699597,1774230699669,btc-updown-15m-1774230300,Up,trade,0.22,6.81818,,0.21,0.22,2026-03-23 01:51:39.597
1774230699597,1774230699669,btc-updown-15m-1774230300,Up,book,,,,0.21,0.22,2026-03-23 01:51:39.597
1774230699626,1774230699702,btc-updown-15m-1774230300,Up,trade,0.22,5.0,,0.21,0.22,2026-03-23 01:51:39.626
1774230699639,1774230699723,btc-updown-15m-1774230300,Up,book,,,,0.21,0.22,2026-03-23 01:51:39.639
1774230700110,1774230700188,btc-updown-15m-1774230300,Up,book,,,,0.21,0.22,2026-03-23 01:51:40.110
1774230700113,1774230700191,btc-updown-15m-1774230300,Up,book,,,,0.2,0.22,2026-03-23 01:51:40.113
1774230700146,1774230700226,btc-updown-15m-1774230300,Up,trade,0.21,5.0,,0.2,0.22,2026-03-23 01:51:40.146
1774230700151,1774230700226,btc-updown-15m-1774230300,Up,trade,0.21,14.93,,0.2,0.22,2026-03-23 01:51:40.151
1774230700424,1774230700507,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:40.424
1774230700739,1774230700838,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:40.739
1774230700749,1774230700845,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:40.749
1774230700754,1774230700855,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:40.754
1774230700786,1774230700875,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:40.786
1774230700793,1774230700882,btc-updown-15m-1774230300,Up,trade,0.2,11.53,,0.2,0.21,2026-03-23 01:51:40.793
1774230700796,1774230700887,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:40.796
1774230700799,1774230700887,btc-updown-15m-1774230300,Up,trade,0.2,9.92,,0.2,0.21,2026-03-23 01:51:40.799
1774230700812,1774230700895,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:40.812
1774230700822,1774230700895,btc-updown-15m-1774230300,Up,trade,0.2,11.53,,0.2,0.21,2026-03-23 01:51:40.822
1774230700827,1774230700900,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:40.827
1774230700839,1774230700913,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:40.839
1774230700843,1774230700917,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:40.843
1774230700844,1774230700929,btc-updown-15m-1774230300,Up,trade,0.21,23.8,,0.2,0.21,2026-03-23 01:51:40.844
1774230700845,1774230700930,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:40.845
1774230700847,1774230700930,btc-updown-15m-1774230300,Up,book,,,,0.19,0.21,2026-03-23 01:51:40.847
1774230700870,1774230700961,btc-updown-15m-1774230300,Up,trade,0.2,14.01,,0.19,0.21,2026-03-23 01:51:40.870
1774230700886,1774230700980,btc-updown-15m-1774230300,Up,trade,0.2,10.0,,0.19,0.21,2026-03-23 01:51:40.886
1774230700887,1774230700992,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:40.887
1774230700893,1774230701013,btc-updown-15m-1774230300,Up,trade,0.2,0.69,,0.2,0.21,2026-03-23 01:51:40.893
1774230700900,1774230701013,btc-updown-15m-1774230300,Up,trade,0.2,20.0,,0.2,0.21,2026-03-23 01:51:40.900
1774230700901,1774230701021,btc-updown-15m-1774230300,Up,book,,,,0.19,0.21,2026-03-23 01:51:40.901
1774230701198,1774230701315,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:41.198
1774230701201,1774230701316,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:41.201
1774230701222,1774230701335,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:41.222
1774230701409,1774230701489,btc-updown-15m-1774230300,Up,book,,,,0.2,0.21,2026-03-23 01:51:41.409
1774230701453,1774230701523,btc-updown-15m-1774230300,Up,trade,0.21,10.0,,0.2,0.21,2026-03-23 01:51:41.453
1774230701526,1774230701601,btc-updown-15m-1774230300,Up,book,,,,0.2,0.22,2026-03-23 01:51:41.526
1774230701532,1774230701605,btc-updown-15m-1774230300,Up,book,,,,0.2,0.22,2026-03-23 01:51:41.532
1774230701547,1774230701617,btc-updown-15m-1774230300,Up,trade,0.22,88.0,,0.2,0.22,2026-03-23 01:51:41.547
1774230701566,1774230701641,btc-updown-15m-1774230300,Up,trade,0.21,33.0,,0.2,0.22,2026-03-23 01:51:41.566
1774230701658,1774230701731,btc-updown-15m-1774230300,Up,book,,,,0.22,0.23,2026-03-23 01:51:41.658
1774230701686,1774230701756,btc-updown-15m-1774230300,Up,trade,0.23,21.739129,,0.22,0.23,2026-03-23 01:51:41.686
1774230701695,1774230701767,btc-updown-15m-1774230300,Up,book,,,,0.22,0.23,2026-03-23 01:51:41.695
